rating,genres1,gen_num,hit,userrev
9.3,"['Crime', 'Drama']","[5, 7]",1,1
9.2,"['Crime', 'Drama']","[5, 7]",1,1
9,"['Crime', 'Drama']","[5, 7]",1,1
9,"['Action', 'Crime', 'Drama', 'Thriller']","[0, 5, 7, 19]",1,1
8.9,"['Crime', 'Drama']","[5, 7]",1,1
8.9,"['Biography', 'Drama', 'History']","[3, 7, 11]",1,1
8.9,"['Crime', 'Drama']","[5, 7]",1,0
8.9,"['Action', 'Adventure', 'Drama', 'Fantasy']","[0, 1, 7, 9]",1,0
8.9,['Western'],[21],1,1
8.8,['Drama'],[7],1,1
8.8,"['Action', 'Adventure', 'Drama', 'Fantasy']","[0, 1, 7, 9]",1,0
8.8,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","[0, 1, 9, 17]",1,0
8.8,"['Comedy', 'Drama']","[4, 7]",1,1
8.8,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","[0, 1, 17, 19]",1,1
8.7,"['Action', 'Adventure', 'Drama', 'Fantasy']","[0, 1, 7, 9]",1,1
8.7,['Drama'],[7],1,1
8.7,"['Biography', 'Crime', 'Drama']","[3, 5, 7]",1,1
8.7,"['Action', 'Sci-Fi']","[0, 17]",1,1
8.7,"['Action', 'Adventure', 'Drama']","[0, 1, 7]",1,0
8.7,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']","[0, 1, 9, 17]",1,1
8.7,"['Crime', 'Drama']","[5, 7]",1,1
8.6,"['Crime', 'Drama', 'Mystery', 'Thriller']","[5, 7, 15, 19]",1,1
8.6,"['Crime', 'Drama', 'Thriller']","[5, 7, 19]",1,1
8.6,"['Drama', 'Family', 'Fantasy', 'Romance']","[7, 8, 9, 16]",1,1
8.6,"['Crime', 'Drama', 'Mystery', 'Thriller']","[5, 7, 15, 19]",1,1
8.6,"['Comedy', 'Drama', 'War']","[4, 7, 20]",1,1
8.6,"['Crime', 'Drama', 'Thriller']","[5, 7, 19]",1,1
8.6,"['Animation', 'Adventure', 'Family', 'Fantasy']","[2, 1, 8, 9]",1,1
8.6,['Western'],[21],1,0
8.6,"['Action', 'Drama', 'War']","[0, 7, 20]",1,0
8.6,"['Crime', 'Drama']","[5, 7]",1,1
8.6,"['Drama', 'Romance', 'War']","[7, 16, 20]",1,1
8.6,"['Adventure', 'Drama', 'Sci-Fi']","[1, 7, 17]",1,1
8.5,"['Horror', 'Mystery', 'Thriller']","[12, 15, 19]",1,0
8.6,"['Comedy', 'Drama', 'Romance']","[4, 7, 16]",1,0
8.5,"['Action', 'Adventure']","[0, 1]",1,0
8.5,"['Crime', 'Drama', 'Fantasy', 'Mystery']","[5, 7, 9, 15]",1,1
8.6,"['Comedy', 'Drama', 'Family']","[4, 7, 8]",1,1
8.6,"['Biography', 'Comedy', 'Drama']","[3, 4, 7]",1,0
8.5,"['Mystery', 'Thriller']","[15, 19]",1,1
8.5,"['Action', 'Sci-Fi', 'Thriller']","[0, 17, 19]",1,1
8.5,"['Crime', 'Drama', 'Thriller']","[5, 7, 19]",1,1
8.5,"['Biography', 'Drama', 'War']","[3, 7, 20]",1,1
8.5,"['Adventure', 'Comedy', 'Sci-Fi']","[1, 4, 17]",1,1
8.5,"['Drama', 'Music']","[7, 13]",1,1
